,,,,,,Notifiable Offence List  2018-2019,,,,,,,
,,,,,,,,,,,,,
"This list can be filtered to show indictable, triable-either-way and summary offences.",,,,,,,,,,,,,
Click on the drop down arrow above the column marked ‘mode’ and select either “I” (indictable) “E” (triable-either-way) or “S” (summary).,,,,,,,,,,,,,
,,,,,,,,,,,,,
Home Office code,Mode,Max Sentence,Victim or State Based,Class,Sub class,Offence category,Offence,Act,Year added/amended/deleted,Commencement date,Cessation date,Note,
5/17,I,life,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,Use of firearm to resist arrest ,Firearms Act 1968 Sec 17(1),,,,,
5/18,I,life,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,Use of firearm to resist arrest ,Firearms Act 1968 Sec 17(1),,,,,
5/19,I,life,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,Use of firearm to resist arrest ,Firearms Act 1968 Sec 17(1),,,,,
5/20,I,life,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,Use of chemical weapons,Chemical Weapons Act 1996 Sec 2,,,,,
5/21,I,life,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,Premises or equipment for producing chemical weapons,Chemical Weapons Act 1996 Sec 11,,,,,
5/22,I,life,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,Use etc. of nuclear weapons,"Anti-Terrorism, Crime and Security Act 2001 Sec 47",,,,,
5/23,I,life,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,Weapons related acts overseas,"Anti-Terrorism, Crime and Security Act 2001 Sec 50",,,,,
5/24,E,14,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,Use of noxious substances or things to cause harm and intimidate,"Anti-Terrorism, Crime and Security Act 2001 Sec 113",,,,,
5/25,E,2,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,Performs an aviation function or ancillary function when impaired by drink or drugs,Railways and Transport Safety Act 2003 Secs 92-95,,,,,
5/26,I,life,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,Endangering Safety at aerodromes,Aviation and Maritime Security Act 1990 Sec 1,,,,,
5/27,I,life,V,Violence Against The Person,Violence with injury ,5D Assault with intent to cause serious harm,Torture,Criminal Justice Act 1988 Sec 134,,,,,
6/1,I,life,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,"Endangering railway passengers by placing anything on railway, taking up rails, changing points and signals etc.  ",Offences against the Person Act 1861 Sec 32,,,,,
6/2,I,life,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,Endangering railway passengers by throwing anything at railway carriages etc. ,Offences against the Person Act 1861 Sec 33,,,,,
6/3,E,2,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,"Endangering railway passengers by unlawful acts, or by omission or neglect ",Offences against the Person Act 1861 Sec 34,,,,,
6/4,I,life,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,"Destroying, damaging etc. a Channel Tunnel train or the Tunnel system or committing acts of violence likely to endanger safety of operation ",Channel Tunnel Act 1987 Sec 1(7).                                                  Channel Tunnel (Security) Order 1994 Art 6,,,,,
7/1,E,2,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,Sending unseaworthy ship to sea ,Merchant Shipping Act 1995 Sec 98,,,,,
7/2,E,2,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,Not waiting to save lives in collision,"Merchant Shipping Act 1995 Sec 92(1,3)",,,,,
7/3,E,2,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,"Endangering ship, life or limb on shipboard by breach of duty",Pilotage Act 1987 Sec 21,,,,,
7/4,E,2,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,Failing to assist ships in distress or persons in danger at sea,"Merchant Shipping Act 1995 Sec 93(1,2,4-7)",,,,,
7/5,E,fine,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,Taking or sending ship to sea with load line submerged,"Merchant Shipping Act 1995 Sch 3(paras 4,14)",,,,,
7/6,E,fine,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,Contravening cargo ship construction & survey rules,Merchant Shipping Act 1964 Sec 7,,,,,
7/7,E,2,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,"Misconduct of master or crew likely to endanger ships, structures or individuals",Merchant Shipping Act 1995 Sec 58,,,,,
7/8,E,2,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,Drunkenness etc. on duty,Merchant Shipping Act 1995 Sec 117,,,,,
7/9,E,fine,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,Contraventions of deck cargo regulations (load lines etc.),Merchant Shipping Act 1995 Sch 3(para 24),,,,,
7/10,E,2,S/V,Violence Against The Person,Violence with injury ,5E Endangering Life,Intentionally making false or fraudulent certificate (load lines etc.),Merchant Shipping Act 1995 Sch 3(para 27),,,,,
